Group,Gname,pearson_patch_dockq,spearman_patch_dockq,ROC_AUC_patch_dockq,pearson_patch_qs,spearman_patch_qs,ROC_AUC_patch_qs,pearson_cad,spearman_cad,ROC_AUC_cad,pearson_lddt,spearman_lddt,ROC_AUC_lddt
266,MFDR,0.450205516,0.392526285,0.652195343,0.459647941,0.371641651,0.650676307,0.410689512,0.369227524,0.651010195,0.475880139,0.432503453,0.680907173
83,MFDS,0.387617175,0.339056089,0.634686464,0.38196662,0.322917734,0.630658879,0.419824624,0.379436145,0.660302944,0.454676249,0.416079832,0.67390954
41,MFD,0.36018699,0.305559875,0.604227264,0.393366869,0.30034212,0.607982049,0.209319359,0.199712532,0.571979352,0.242779969,0.227334241,0.583770399
248,Manifold,0.302418081,0.27135157,0.566505154,0.315186154,0.266017965,0.566531494,0.152990407,0.148663813,0.52873593,0.180006318,0.175933463,0.541538709
158,MULTICOM,0.104467325,0.116236713,0.546496753,0.114791058,0.133884677,0.549591202,0.082425369,0.091442139,0.534289999,0.090576535,0.094119341,0.537734101
89,RocketX,0.432124838,0.406478078,0.697815484,0.410145791,0.400566342,0.701206727,0.505289776,0.456034133,0.714032449,0.564448761,0.534556495,0.755093386
494,Venclovas,0.414908233,0.392371512,0.674546025,0.38913977,0.398812906,0.683317015,0.270844801,0.270905635,0.619426998,0.332412832,0.338475679,0.663559475
468,MASS,0.143562905,0.176087306,0.532746916,0.123324893,0.168433243,0.529310163,0.141405934,0.152114411,0.521040726,0.150617715,0.171506843,0.527228938
426,LAW,0.096088293,0.101356296,0.530368818,0.093351616,0.100904459,0.526098746,0.14316789,0.132557403,0.513381786,0.169286903,0.167915367,0.525158067
168,APOLLO,0.200129348,0.217371931,0.559345388,0.192177504,0.215023759,0.567258929,0.156280974,0.1589673,0.549280202,0.192194892,0.213139962,0.564870193
121,VoroIF,0.415475713,0.392802927,0.67458899,0.389736205,0.399243928,0.683356787,0.271853586,0.271361045,0.61948391,0.333459348,0.339027666,0.663616558
245,FoldEver,0.208502186,0.206642571,0.591255296,0.194622311,0.21175076,0.603637183,0.21724521,0.194441328,0.583290565,0.276961811,0.278982918,0.625126449
101,DLA-Ranker,0.097197152,0.123293062,0.531234882,0.092279322,0.108610332,0.523582365,0.093338602,0.095070408,0.525646967,0.100224143,0.112128398,0.528987832
